txn_id,store,date,category,customer_age,amount,items_count,payment_method,member,month,quarter,avg_item_value,member_discount
T0001,Store A,2024-01-01,Food,40,10350.01,6,Debit Card,False,January,Q1,1725.0,0.0
T0002,Store C,2024-01-02,Sports,22,9918.06,4,UPI,False,January,Q1,2479.52,0.0
T0003,Store A,2024-01-03,Clothing,25,5522.67,3,UPI,False,January,Q1,1840.89,0.0
T0004,Store A,2024-01-04,Clothing,40,1432.21,6,Credit Card,False,January,Q1,238.7,0.0
T0005,Store D,2024-01-05,Sports,30,4221.09,7,Debit Card,True,January,Q1,603.01,211.05450000000002
T0006,Store A,2024-01-06,Books,45,21386.3,4,Credit Card,True,January,Q1,5346.58,1069.315
T0007,Store C,2024-01-07,Electronics,20,5618.75,3,UPI,False,January,Q1,1872.92,0.0
T0008,Store D,2024-01-08,Electronics,22,3666.85,8,UPI,True,January,Q1,458.36,183.3425
T0009,Store B,2024-01-09,Food,20,3055.03,1,Credit Card,True,January,Q1,3055.03,152.75150000000002
T0010,Store D,2024-01-10,Food,23,1311.74,1,Debit Card,True,January,Q1,1311.74,65.587
T0011,Store B,2024-01-11,Books,23,5898.79,5,Debit Card,True,January,Q1,1179.76,294.9395
T0012,Store A,2024-01-12,Food,18,34193.0,6,UPI,True,January,Q1,5698.83,1709.65
T0013,Store D,2024-01-13,Food,28,2762.95,6,Debit Card,True,January,Q1,460.49,138.1475
T0014,Store C,2024-01-14,Electronics,28,3752.34,4,Debit Card,True,January,Q1,938.08,187.61700000000002
T0015,Store C,2024-01-15,Electronics,19,7702.38,9,Cash,False,January,Q1,855.82,0.0
T0016,Store A,2024-01-16,Electronics,40,1457.86,1,UPI,False,January,Q1,1457.86,0.0
T0017,Store B,2024-01-17,Food,28,8114.95,1,Debit Card,False,January,Q1,8114.95,0.0
T0018,Store A,2024-01-18,Food,25,4937.85,7,UPI,True,January,Q1,705.41,246.89250000000004
T0019,Store B,2024-01-19,Clothing,19,1760.39,6,UPI,True,January,Q1,293.4,88.01950000000001
T0020,Store C,2024-01-20,Electronics,22,5065.03,9,UPI,True,January,Q1,562.78,253.2515
T0021,Store D,2024-01-21,Clothing,28,20532.43,8,Credit Card,False,January,Q1,2566.55,0.0
T0022,Store D,2024-01-22,Books,18,3279.88,3,Cash,False,January,Q1,1093.29,0.0
T0023,Store C,2024-01-23,Food,20,1471.31,1,UPI,False,January,Q1,1471.31,0.0
T0024,Store C,2024-01-24,Clothing,35,9013.02,3,Debit Card,True,January,Q1,3004.34,450.65100000000007
T0025,Store D,2024-01-25,Electronics,20,2302.53,7,Credit Card,False,January,Q1,328.93,0.0
T0026,Store D,2024-01-26,Books,40,11518.74,2,UPI,False,January,Q1,5759.37,0.0
T0027,Store D,2024-01-27,Books,32,3786.15,9,Credit Card,True,January,Q1,420.68,189.3075
T0028,Store A,2024-01-28,Books,21,13782.78,9,Credit Card,False,January,Q1,1531.42,0.0
T0029,Store D,2024-01-29,Electronics,45,4331.6,7,UPI,True,January,Q1,618.8,216.58000000000004
T0030,Store D,2024-01-30,Clothing,21,2673.62,4,UPI,False,January,Q1,668.4,0.0
T0031,Store C,2024-01-31,Books,18,6111.36,5,UPI,False,January,Q1,1222.27,0.0
T0032,Store C,2024-02-01,Food,21,4074.2,8,UPI,False,February,Q1,509.28,0.0
T0033,Store D,2024-02-02,Books,19,1925.19,6,Credit Card,True,February,Q1,320.86,96.2595
T0034,Store B,2024-02-03,Clothing,35,4377.0,9,Credit Card,False,February,Q1,486.33,0.0
T0035,Store C,2024-02-04,Books,50,1819.11,5,UPI,True,February,Q1,363.82,90.9555
T0036,Store C,2024-02-05,Sports,24,1348.73,8,UPI,True,February,Q1,168.59,67.43650000000001
T0037,Store A,2024-02-06,Books,32,5521.44,1,Debit Card,False,February,Q1,5521.44,0.0
T0038,Store C,2024-02-07,Clothing,24,5082.08,6,Debit Card,True,February,Q1,847.01,254.104
T0039,Store D,2024-02-08,Electronics,22,16891.06,9,UPI,False,February,Q1,1876.78,0.0
T0040,Store B,2024-02-09,Clothing,30,2070.17,7,Credit Card,True,February,Q1,295.74,103.50850000000001
T0041,Store C,2024-02-10,Clothing,30,4894.99,3,Credit Card,True,February,Q1,1631.66,244.7495
T0042,Store D,2024-02-11,Sports,19,2193.66,1,Debit Card,False,February,Q1,2193.66,0.0
T0043,Store C,2024-02-12,Sports,28,9726.04,6,Debit Card,False,February,Q1,1621.01,0.0
T0044,Store D,2024-02-13,Sports,45,9236.83,5,Debit Card,True,February,Q1,1847.37,461.8415
T0045,Store B,2024-02-14,Clothing,20,6356.78,9,UPI,True,February,Q1,706.31,317.839
T0046,Store B,2024-02-15,Food,30,23557.9,1,Credit Card,True,February,Q1,23557.9,1177.8950000000002
T0047,Store B,2024-02-16,Food,21,14837.46,8,Debit Card,False,February,Q1,1854.68,0.0
T0048,Store D,2024-02-17,Food,45,3265.47,7,UPI,True,February,Q1,466.5,163.2735
T0049,Store C,2024-02-18,Food,45,8206.69,7,Debit Card,False,February,Q1,1172.38,0.0
T0050,Store A,2024-02-19,Electronics,19,3783.03,7,Debit Card,True,February,Q1,540.43,189.15150000000003
T0051,Store B,2024-02-20,Clothing,32,5227.27,1,Debit Card,False,February,Q1,5227.27,0.0
T0052,Store C,2024-02-21,Sports,21,2102.42,6,UPI,True,February,Q1,350.4,105.12100000000001
T0053,Store C,2024-02-22,Sports,23,4759.84,2,Credit Card,True,February,Q1,2379.92,237.99200000000002
T0054,Store C,2024-02-23,Clothing,50,18901.45,3,Credit Card,True,February,Q1,6300.48,945.0725000000001
T0055,Store A,2024-02-24,Books,19,2724.31,7,Credit Card,True,February,Q1,389.19,136.2155
